Event,Point,Value,Time,Info
[COV],temperature,70.000,0.000,
[COV],temperature_cov,0.100,0.000,
[COV],temperature_period,5000.000,0.000,
[COV],humidity,1.000,0.000,
[COV],humidity_cov,0.500,0.000,
[COV],csp,72.000,0.000,
[COV],hsp,72.000,0.000,
[COV],cspLimit,50.000,0.000,
[COV],hspLimit,99.000,0.000,
[COV],modes,,0.000,
[COV],mode,0.000,0.000,Off
[COV],occStates,,0.000,
[COV],occState,Null,0.000,Home
[COV],netSesne,0.000,0.000,
[COV],netSesneEn,0.000,0.000,
[COV],occSense,0.000,0.000,
[COV],occSenseEn,0.000,0.000,
[COV],activeSp,72.000,0.000,
[COV],heatMinOnTime,30.000,0.000,
[COV],heatMinOffTime,30.000,0.000,
[COV],coolMinOnTime,60.000,0.000,
[COV],coolMinOffTime,60.000,0.000,
[COV],controlDeadBand,1.000,0.000,
[COV],controlTick,1.000,0.000,
[COV],controlDelay,5.000,0.000,
[COV],h1_enabled,,0.000,
[COV],c1_enabled,,0.000,
[COV],fan1_enabled,,0.000,
[COV],site_name,Null,0.000,nate
[COV],state,0.000,0.000,Off
[COV],runTime,0.000,0.000,
[COV],latitude,0.000,0.000,
[COV],longitude,0.000,0.000,
[COV],darkSkyKey,Null,0.000,null
[COV],outdoorAirTemperature,72.000,0.000,
[COV],upTempIO,13.000,0.000,
[COV],downTempIO,15.000,0.000,
[COV],modeChangeIO,16.000,0.000,
[COV],led_pin,11.000,0.000,
[COV],sensePin,12.000,0.000,
[COV],c1Pin,19.000,0.000,
[COV],h1Pin,21.000,0.000,
[COV],cool1,0.000,0.000,
[COV],heat1,0.000,0.000,
[COV],skipStateLoad,,0.000,
[COV],mode,1.000,0.030,Heat
[COV],state,1.000,5.001,Idle
[COV],heat1,1.000,5.002,
[COV],state,2.000,5.002,Active
[COV],temperature,64.917,10.060,
[COV],humidity,0.000,10.060,
[COV],temperature,65.028,30.080,
[COV],temperature,65.139,50.100,
[COV],temperature,65.248,70.120,
[COV],temperature,65.356,90.140,
[COV],temperature,65.463,110.160,
[COV],temperature,65.569,130.180,
[COV],temperature,65.673,150.200,
[COV],temperature,65.777,170.220,
[COV],temperature,65.879,190.240,
[COV],temperature,65.980,210.260,
[COV],temperature,66.129,240.290,
[COV],temperature,66.276,270.320,
[COV],temperature,66.421,300.350,
[COV],temperature,66.563,330.380,
[COV],temperature,66.703,360.410,
[COV],temperature,66.840,390.440,
[COV],temperature,66.976,420.470,
[COV],temperature,67.109,450.500,
[COV],temperature,67.240,480.530,
[COV],temperature,67.368,510.560,
[COV],temperature,67.495,540.590,
[COV],temperature,67.619,570.620,
[COV],temperature,67.741,600.650,
[COV],temperature,67.862,630.680,
[COV],temperature,67.980,660.710,
[COV],temperature,68.096,690.740,
[COV],temperature,68.211,720.770,
[COV],temperature,68.323,750.800,
[COV],temperature,68.434,780.830,
[COV],temperature,68.543,810.860,
[COV],temperature,68.650,840.890,
[COV],temperature,68.755,870.920,
[COV],temperature,68.859,900.950,
[COV],temperature,68.960,930.980,
[COV],temperature,69.060,961.010,
[COV],temperature,69.191,1001.050,
[COV],temperature,69.319,1041.090,
[COV],temperature,69.445,1081.130,
[COV],temperature,69.567,1121.170,
[COV],temperature,69.687,1161.210,
[COV],runTime,0.333,1200.000,
[COV],temperature,69.804,1201.250,
[COV],temperature,69.918,1241.290,
[COV],temperature,70.030,1281.330,
[COV],temperature,70.140,1321.370,
[COV],temperature,70.247,1361.410,
[COV],temperature,70.352,1401.450,
[COV],temperature,70.454,1441.490,
[COV],temperature,70.554,1481.530,
[COV],temperature,70.676,1531.580,
[COV],temperature,70.795,1581.630,
[COV],temperature,70.911,1631.680,
[COV],temperature,71.023,1681.730,
[COV],temperature,71.132,1731.780,
[COV],temperature,71.239,1781.830,
[COV],temperature,71.342,1831.880,
[COV],temperature,71.442,1881.930,
[COV],temperature,71.559,1941.990,
[COV],temperature,71.672,2002.050,
[COV],temperature,71.782,2062.110,
[COV],temperature,71.888,2122.170,
[COV],temperature,71.990,2182.230,
[COV],temperature,72.105,2252.300,
[COV],temperature,72.216,2322.370,
[COV],temperature,72.322,2392.440,
[COV],runTime,0.667,2400.000,
[COV],temperature,72.425,2462.510,
[COV],temperature,72.537,2542.590,
[COV],heat1,0.000,2542.591,
[COV],state,3.000,2542.592,Satisfied
[COV],temperature,72.412,2552.600,
[COV],temperature,72.287,2562.610,
[COV],temperature,72.163,2572.620,
[COV],temperature,72.040,2582.630,
[COV],temperature,71.918,2592.640,
[COV],temperature,71.796,2602.650,
[COV],temperature,71.675,2612.660,
[COV],temperature,71.555,2622.670,
[COV],temperature,71.435,2632.680,
[COV],state,1.000,2632.681,Idle
[COV],heat1,1.000,2632.682,
[COV],state,2.000,2632.682,Active
[COV],temperature,71.552,2692.740,
[COV],temperature,71.665,2752.800,
[COV],temperature,71.775,2812.860,
[COV],temperature,71.881,2872.920,
[COV],temperature,71.984,2932.980,
[COV],temperature,72.099,3003.050,
[COV],temperature,72.210,3073.120,
[COV],temperature,72.317,3143.190,
[COV],temperature,72.419,3213.260,
[COV],temperature,72.532,3293.340,
[COV],heat1,0.000,3293.341,
[COV],state,3.000,3293.342,Satisfied
[COV],temperature,72.407,3303.350,
[COV],temperature,72.282,3313.360,
[COV],temperature,72.158,3323.370,
[COV],temperature,72.035,3333.380,
[COV],temperature,71.913,3343.390,
[COV],temperature,71.791,3353.400,
[COV],temperature,71.670,3363.410,
[COV],temperature,71.550,3373.420,
[COV],temperature,71.430,3383.430,
[COV],state,1.000,3383.431,Idle
[COV],heat1,1.000,3383.432,
[COV],state,2.000,3383.432,Active
[COV],temperature,71.547,3443.490,
[COV],temperature,71.661,3503.550,
[COV],temperature,71.770,3563.610,
[COV],runTime,1.000,3600.000,
[COV],temperature,71.770,3603.660,
[COV],temperature_cov,0.100,3603.660,
[COV],temperature_period,5000.000,3603.660,
[COV],humidity,0.000,3603.660,
[COV],humidity_cov,0.500,3603.660,
[COV],csp,72.000,3603.660,
[COV],hsp,72.000,3603.660,
[COV],cspLimit,50.000,3603.660,
[COV],hspLimit,99.000,3603.660,
[COV],modes,,3603.660,
[COV],mode,1.000,3603.660,Heat
[COV],occStates,,3603.660,
[COV],occState,Null,3603.660,Home
[COV],netSesne,0.000,3603.660,
[COV],netSesneEn,0.000,3603.660,
[COV],occSense,0.000,3603.660,
[COV],occSenseEn,0.000,3603.660,
[COV],activeSp,72.000,3603.660,
[COV],heatMinOnTime,30.000,3603.660,
[COV],heatMinOffTime,30.000,3603.660,
[COV],coolMinOnTime,60.000,3603.660,
[COV],coolMinOffTime,60.000,3603.660,
[COV],controlDeadBand,1.000,3603.660,
[COV],controlTick,1.000,3603.660,
[COV],controlDelay,5.000,3603.660,
[COV],h1_enabled,,3603.660,
[COV],c1_enabled,,3603.660,
[COV],fan1_enabled,,3603.660,
[COV],site_name,Null,3603.660,nate
[COV],state,2.000,3603.660,Active
[COV],runTime,1.000,3603.660,
[COV],latitude,0.000,3603.660,
[COV],longitude,0.000,3603.660,
[COV],darkSkyKey,Null,3603.660,null
[COV],outdoorAirTemperature,72.000,3603.660,
[COV],upTempIO,13.000,3603.660,
[COV],downTempIO,15.000,3603.660,
[COV],modeChangeIO,16.000,3603.660,
[COV],led_pin,11.000,3603.660,
[COV],sensePin,12.000,3603.660,
[COV],c1Pin,19.000,3603.660,
[COV],h1Pin,21.000,3603.660,
[COV],cool1,0.000,3603.660,
[COV],heat1,1.000,3603.660,
[COV],skipStateLoad,,3603.660,